Quarter,"National
Unemployment Rate SA (%)","Dublin
Unemployed SA (000)","Dublin
Unemployment Rate SA (%)","Dublin
Employed SA (000)","QoQ
Dublin Employed",QoQ Dublin Unemployment Rate,"YoY
Dublin Employed","%YoY
Dublin Unemployed ",Column2,"Dublin - National
Unemployment Rate SA (%)",,,,,,,,,,,
Q1 98,9.0%,43.4,8.1%,496.6,,#VALUE!,,,,-0.9%,,,,,,,,,,,Q4 25
Q2 98,8.0%,39.5,7.2%,499.4,,-0.9%,,,,-0.8%,,,,,,,,,,,5.0%
Q3 98,7.4%,37.4,7.0%,507.8,,-0.2%,,,,-0.4%,,,,,,,,,,,4.6%
Q4 98,6.8%,32.3,5.9%,510.5,,-1.1%,,,,-0.9%,,,,,,,,,,,0.4%
Q1 99,6.4%,30.2,5.5%,521.4,,-0.3%,,-2.56%,,-0.9%,,,,,,,,,,,840.6
Q2 99,6.1%,27.9,5.0%,529.9,,-0.6%,,-2.25%,,-1.1%,,,,,,,,,,,13.48
Q3 99,5.6%,24.4,4.5%,534.8,4.9,-0.5%,26.971,-2.48%,,-1.1%,,,,,,,,,,,0.046
Q4 99,5.4%,24.1,4.2%,538.9,4.1,-0.3%,28.448,-1.66%,,-1.2%,,,,,,,,,,,0.05
Q1 00,4.9%,22.1,3.9%,543.6,4.7,-0.3%,22.204,-1.64%,,-1.0%,,,,,,,,,,,
Q2 00,4.7%,21.0,3.5%,551.3,7.7,-0.4%,21.441,-1.44%,,-1.2%,,,,,,,,,,,
Q3 00,4.4%,19.9,3.4%,560.3,9.0,-0.1%,25.509,-1.12%,,-1.0%,,,,,,,,,,,
Q4 00,4.0%,16.7,3.0%,561.8,1.5,-0.5%,22.832,-1.25%,,-1.0%,,,,,,,,,,,
Q1 01,4.0%,16.2,3.0%,563.1,1.3,0.1%,19.494,-0.87%,,-1.0%,,,,,,,,,,,
Q2 01,4.0%,18.9,3.1%,563.5,0.4,0.1%,12.173,-0.44%,,-0.9%,,,,,,,,,,,
Q3 01,4.4%,20.2,3.4%,566.9,3.4,0.3%,6.585,-0.01%,,-1.0%,,,,,,,,,,,
Q4 01,4.4%,20.7,3.5%,566.5,-0.4,0.1%,4.721,0.51%,,-0.9%,,,,,,,,,,,
Q1 02,4.5%,22.2,3.8%,565.0,-1.5,0.4%,1.948,0.81%,,-0.7%,,,,,,,,,,,
Q2 02,4.6%,24.0,4.1%,563.0,-2.0,0.3%,-0.476,1.00%,,-0.5%,,,,,,,,,,,
Q3 02,4.5%,24.8,4.3%,561.8,-1.2,0.2%,-5.031,0.87%,,-0.2%,,,,,,,,,,,
Q4 02,5.3%,27.9,4.5%,562.2,0.3,0.2%,-4.318,0.99%,,-0.8%,,,,,,,,,,,
Q1 03,4.8%,26.3,4.5%,563.3,1.1,0.0%,-1.762,0.65%,,-0.3%,,,,,,,,,,,
Q2 03,4.8%,24.1,4.3%,567.9,4.6,-0.2%,4.855,0.16%,,-0.5%,,,,,,,,,,,
Q3 03,5.0%,27.2,4.8%,563.0,-4.8,0.5%,1.174,0.53%,,-0.2%,,,,,,,,,,,
Q4 03,4.8%,26.6,4.2%,566.9,3.9,-0.6%,4.788,-0.22%,,-0.6%,,,,,,,,,,,
Q1 04,5.1%,29.9,4.9%,566.2,-0.8,0.7%,2.927,0.42%,,-0.2%,,,,,,,,,,,
Q2 04,4.7%,25.5,4.3%,567.8,1.6,-0.6%,-0.066,0.02%,,-0.4%,,,,,,,,,,,
